Epoch:   0 | Loss: 5.8006e+00 | Accuracy: 0.0000e+00 | Validation loss: 5.4928e+00 | Validation accuracy: 0.0000e+00

Epoch:  10 | Loss: 4.5165e+00 | Accuracy: 0.0000e+00 | Validation loss: 4.3285e+00 | Validation accuracy: 0.0000e+00

Epoch:  20 | Loss: 3.6348e+00 | Accuracy: 0.0000e+00 | Validation loss: 3.5371e+00 | Validation accuracy: 0.0000e+00

Epoch:  30 | Loss: 3.0156e+00 | Accuracy: 0.0000e+00 | Validation loss: 2.9699e+00 | Validation accuracy: 0.0000e+00

Epoch:  40 | Loss: 2.5410e+00 | Accuracy: 0.0000e+00 | Validation loss: 2.5171e+00 | Validation accuracy: 0.0000e+00

Epoch:  50 | Loss: 2.1512e+00 | Accuracy: 0.0000e+00 | Validation loss: 2.1342e+00 | Validation accuracy: 0.0000e+00

Epoch:  60 | Loss: 1.8210e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.8060e+00 | Validation accuracy: 0.0000e+00

Epoch:  70 | Loss: 1.5362e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.5222e+00 | Validation accuracy: 0.0000e+00

Epoch:  80 | Loss: 1.2901e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.2770e+00 | Validation accuracy: 0.0000e+00

Epoch:  90 | Loss: 1.0781e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.0662e+00 | Validation accuracy: 0.0000e+00

Epoch:   0 | Loss: 5.4510e+00 | Accuracy: 0.0000e+00 | Validation loss: 5.1793e+00 | Validation accuracy: 0.0000e+00

Epoch:  10 | Loss: 3.9224e+00 | Accuracy: 0.0000e+00 | Validation loss: 3.7321e+00 | Validation accuracy: 0.0000e+00

Epoch:  20 | Loss: 2.8291e+00 | Accuracy: 0.0000e+00 | Validation loss: 2.7023e+00 | Validation accuracy: 0.0000e+00

Epoch:  30 | Loss: 2.0536e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.9701e+00 | Validation accuracy: 0.0000e+00

Epoch:  40 | Loss: 1.4979e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.4431e+00 | Validation accuracy: 0.0000e+00

Epoch:  50 | Loss: 1.0890e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.0522e+00 | Validation accuracy: 0.0000e+00

Epoch:  60 | Loss: 7.8177e-01 | Accuracy: 0.0000e+00 | Validation loss: 7.5588e-01 | Validation accuracy: 0.0000e+00

Epoch:  70 | Loss: 5.5143e-01 | Accuracy: 0.0000e+00 | Validation loss: 5.3212e-01 | Validation accuracy: 0.0000e+00

Epoch:  80 | Loss: 3.8197e-01 | Accuracy: 0.0000e+00 | Validation loss: 3.6720e-01 | Validation accuracy: 0.0000e+00

Epoch:  90 | Loss: 2.6023e-01 | Accuracy: 0.0000e+00 | Validation loss: 2.4917e-01 | Validation accuracy: 0.0000e+00

Epoch:   0 | Loss: 4.1516e+00 | Accuracy: 0.0000e+00 | Validation loss: 4.0129e+00 | Validation accuracy: 0.0000e+00

Epoch:  10 | Loss: 3.1640e+00 | Accuracy: 0.0000e+00 | Validation loss: 3.0697e+00 | Validation accuracy: 0.0000e+00

Epoch:  20 | Loss: 2.5258e+00 | Accuracy: 0.0000e+00 | Validation loss: 2.4702e+00 | Validation accuracy: 0.0000e+00

Epoch:  30 | Loss: 2.0970e+00 | Accuracy: 0.0000e+00 | Validation loss: 2.0671e+00 | Validation accuracy: 0.0000e+00

Epoch:  40 | Loss: 1.7688e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.7517e+00 | Validation accuracy: 0.0000e+00

Epoch:  50 | Loss: 1.4941e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.4825e+00 | Validation accuracy: 0.0000e+00

Epoch:  60 | Loss: 1.2565e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.2474e+00 | Validation accuracy: 0.0000e+00

Epoch:  70 | Loss: 1.0504e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.0417e+00 | Validation accuracy: 0.0000e+00

Epoch:  80 | Loss: 8.7307e-01 | Accuracy: 0.0000e+00 | Validation loss: 8.6429e-01 | Validation accuracy: 0.0000e+00

Epoch:  90 | Loss: 7.2158e-01 | Accuracy: 0.0000e+00 | Validation loss: 7.1326e-01 | Validation accuracy: 0.0000e+00

Epoch:   0 | Loss: 3.8593e+00 | Accuracy: 0.0000e+00 | Validation loss: 3.7217e+00 | Validation accuracy: 0.0000e+00

Epoch:  10 | Loss: 2.6048e+00 | Accuracy: 0.0000e+00 | Validation loss: 2.5179e+00 | Validation accuracy: 0.0000e+00

Epoch:  20 | Loss: 1.7651e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.7103e+00 | Validation accuracy: 0.0000e+00

Epoch:  30 | Loss: 1.2046e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.1659e+00 | Validation accuracy: 0.0000e+00

Epoch:  40 | Loss: 8.1503e-01 | Accuracy: 0.0000e+00 | Validation loss: 7.8591e-01 | Validation accuracy: 0.0000e+00

Epoch:  50 | Loss: 5.3668e-01 | Accuracy: 0.0000e+00 | Validation loss: 5.1482e-01 | Validation accuracy: 0.0000e+00

Epoch:  60 | Loss: 3.4133e-01 | Accuracy: 0.0000e+00 | Validation loss: 3.2562e-01 | Validation accuracy: 0.0000e+00

Epoch:  70 | Loss: 2.0944e-01 | Accuracy: 0.0000e+00 | Validation loss: 1.9846e-01 | Validation accuracy: 0.0000e+00

Epoch:  80 | Loss: 1.2413e-01 | Accuracy: 0.0000e+00 | Validation loss: 1.1710e-01 | Validation accuracy: 0.0000e+00

Epoch:  90 | Loss: 7.1542e-02 | Accuracy: 0.0000e+00 | Validation loss: 6.7579e-02 | Validation accuracy: 0.0000e+00

Epoch:   0 | Loss: 6.6362e+00 | Accuracy: 0.0000e+00 | Validation loss: 6.4566e+00 | Validation accuracy: 0.0000e+00

Epoch:  10 | Loss: 5.0818e+00 | Accuracy: 0.0000e+00 | Validation loss: 4.9576e+00 | Validation accuracy: 0.0000e+00

Epoch:  20 | Loss: 3.9724e+00 | Accuracy: 0.0000e+00 | Validation loss: 3.8834e+00 | Validation accuracy: 0.0000e+00

Epoch:  30 | Loss: 3.1121e+00 | Accuracy: 0.0000e+00 | Validation loss: 3.0421e+00 | Validation accuracy: 0.0000e+00

Epoch:  40 | Loss: 2.4152e+00 | Accuracy: 0.0000e+00 | Validation loss: 2.3603e+00 | Validation accuracy: 0.0000e+00

Epoch:  50 | Loss: 1.8549e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.8121e+00 | Validation accuracy: 0.0000e+00

Epoch:  60 | Loss: 1.4086e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.3735e+00 | Validation accuracy: 0.0000e+00

Epoch:  70 | Loss: 1.0565e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.0273e+00 | Validation accuracy: 0.0000e+00

Epoch:  80 | Loss: 7.8288e-01 | Accuracy: 0.0000e+00 | Validation loss: 7.5922e-01 | Validation accuracy: 0.0000e+00

Epoch:  90 | Loss: 5.7330e-01 | Accuracy: 0.0000e+00 | Validation loss: 5.5472e-01 | Validation accuracy: 0.0000e+00

Epoch:   0 | Loss: 6.0929e+00 | Accuracy: 0.0000e+00 | Validation loss: 5.8680e+00 | Validation accuracy: 0.0000e+00

